Date,Open,High,Low,Close,Change %
"May 03, 2019","1,192.13","1,193.56","1,188.26","1,188.98",-0.36
"May 02, 2019","1,186.09","1,193.63","1,186.09","1,193.30",0.30
"May 01, 2019","1,190.10","1,190.34","1,182.10","1,189.78",0.10
"Apr 30, 2019","1,187.48","1,192.92","1,186.18","1,188.65",0.35
"Apr 29, 2019","1,187.10","1,187.15","1,181.00","1,184.45",-0.17
"Apr 26, 2019","1,188.00","1,192.03","1,185.67","1,186.45",0.06
"Apr 25, 2019","1,172.61","1,186.00","1,172.61","1,185.69",1.13
"Apr 24, 2019","1,169.06","1,174.81","1,169.06","1,172.39",0.33
"Apr 23, 2019","1,166.37","1,170.75","1,165.12","1,168.53",0.14
"Apr 22, 2019","1,159.65","1,167.17","1,159.36","1,166.93",0.63
"Apr 18, 2019","1,156.05","1,159.81","1,152.51","1,159.67",0.30
"Apr 17, 2019","1,159.84","1,160.67","1,152.72","1,156.15",-0.45
"Apr 16, 2019","1,172.39","1,173.57","1,160.55","1,161.35",-0.94
"Apr 15, 2019","1,167.19","1,174.11","1,166.43","1,172.40",0.39
"Apr 12, 2019","1,175.30","1,175.78","1,164.41","1,167.87",-0.93
"Apr 11, 2019","1,178.72","1,180.44","1,174.23","1,178.82",0.02
"Apr 10, 2019","1,179.51","1,184.72","1,177.42","1,178.57",-0.02
"Apr 09, 2019","1,168.11","1,179.31","1,167.73","1,178.83",0.96
"Apr 08, 2019","1,168.99","1,168.99","1,163.00","1,167.66",-0.13
"Apr 05, 2019","1,171.84","1,173.27","1,167.39","1,169.19",-0.28
"Apr 04, 2019","1,185.57","1,186.18","1,170.23","1,172.43",-1.07
"Apr 03, 2019","1,186.78","1,186.78","1,181.08","1,185.15",-0.31
"Apr 02, 2019","1,189.62","1,190.34","1,183.64","1,188.78",0.04
"Apr 01, 2019","1,197.12","1,199.10","1,185.97","1,188.27",-0.87
"Mar 29, 2019","1,200.14","1,201.05","1,194.26","1,198.75",-0.27
"Mar 28, 2019","1,203.31","1,204.75","1,199.36","1,201.98",0.13
"Mar 27, 2019","1,204.24","1,205.10","1,197.41","1,200.48",-0.35
"Mar 26, 2019","1,211.48","1,211.48","1,204.12","1,204.68",-0.55
"Mar 25, 2019","1,205.41","1,212.35","1,203.36","1,211.31",0.52
"Mar 22, 2019","1,198.70","1,207.47","1,197.83","1,205.03",0.60
